owner,name,repo_full,url,stars,contributors,commits_5_anos,default_branch,faixa_stars,faixa_contributors,faixa_commits
agentskills,agentskills,agentskills/agentskills,https://github.com/agentskills/agentskills,19246,37,123,main,3. 10k–25k,2. 11–50,1. 100–499
Avaiga,taipy,Avaiga/taipy,https://github.com/Avaiga/taipy,19221,96,7595,develop,3. 10k–25k,3. 51–200,4. 5k–20k
RunaCapital,awesome-oss-alternatives,RunaCapital/awesome-oss-alternatives,https://github.com/RunaCapital/awesome-oss-alternatives,19138,154,409,main,3. 10k–25k,3. 51–200,1. 100–499
DrewThomasson,ebook2audiobook,DrewThomasson/ebook2audiobook,https://github.com/DrewThomasson/ebook2audiobook,19010,35,14077,main,3. 10k–25k,2. 11–50,4. 5k–20k
mxrch,GHunt,mxrch/GHunt,https://github.com/mxrch/GHunt,18972,37,142,master,3. 10k–25k,2. 11–50,1. 100–499
kivy,kivy,kivy/kivy,https://github.com/kivy/kivy,18944,637,647,master,3. 10k–25k,4. 201–1000,2. 500–999
Alibaba-NLP,DeepResearch,Alibaba-NLP/DeepResearch,https://github.com/Alibaba-NLP/DeepResearch,18943,30,300,main,3. 10k–25k,2. 11–50,1. 100–499
ymcui,Chinese-LLaMA-Alpaca,ymcui/Chinese-LLaMA-Alpaca,https://github.com/ymcui/Chinese-LLaMA-Alpaca,18941,11,558,main,3. 10k–25k,2. 11–50,2. 500–999
eosphoros-ai,DB-GPT,eosphoros-ai/DB-GPT,https://github.com/eosphoros-ai/DB-GPT,18822,184,3325,main,3. 10k–25k,3. 51–200,3. 1k–5k
lss233,kirara-ai,lss233/kirara-ai,https://github.com/lss233/kirara-ai,18759,49,1633,master,3. 10k–25k,2. 11–50,3. 1k–5k
astral-sh,ty,astral-sh/ty,https://github.com/astral-sh/ty,18725,44,487,main,3. 10k–25k,2. 11–50,1. 100–499
spotify,luigi,spotify/luigi,https://github.com/spotify/luigi,18722,635,316,master,3. 10k–25k,4. 201–1000,1. 100–499
huggingface,sentence-transformers,huggingface/sentence-transformers,https://github.com/huggingface/sentence-transformers,18715,262,1966,main,3. 10k–25k,4. 201–1000,3. 1k–5k
pyscript,pyscript,pyscript/pyscript,https://github.com/pyscript/pyscript,18689,127,1326,main,3. 10k–25k,3. 51–200,3. 1k–5k
hummingbot,hummingbot,hummingbot/hummingbot,https://github.com/hummingbot/hummingbot,18649,311,17516,master,3. 10k–25k,4. 201–1000,4. 5k–20k
sanic-org,sanic,sanic-org/sanic,https://github.com/sanic-org/sanic,18638,369,471,main,3. 10k–25k,4. 201–1000,1. 100–499
