repo_full,n_commits,n_bic,taxa_bic_pct,pct_pequeno,pct_medio,pct_grande
jaakkopasanen/AutoEq,401,115,28.68,24.19,40.4,35.41
jax-ml/jax,22459,312,1.39,51.19,41.46,7.35
jhao104/proxy_pool,134,4,2.99,66.42,26.12,7.46
jianchang512/pyvideotrans,1108,387,34.93,43.86,22.83,33.3
jingyaogong/minimind,342,34,9.94,62.57,33.63,3.8
joke2k/faker,1715,70,4.08,78.02,19.59,2.39
josephmisiti/awesome-machine-learning,129,0,0.0,100.0,0.0,0.0
jumpserver/jumpserver,7292,37,0.51,64.37,26.1,9.53
jupyter/jupyter,272,1,0.37,71.32,27.21,1.47
kaixindelele/ChatPaper,298,18,6.04,77.52,18.79,3.69
karpathy/nanoGPT,162,27,16.67,81.48,17.28,1.23
karpathy/nanochat,378,26,6.88,62.43,33.07,4.5
keon/algorithms,125,47,37.6,39.2,46.4,14.4
keras-team/keras,853,38,4.45,35.17,52.75,12.08
khoj-ai/khoj,4952,150,3.03,57.01,37.88,5.11
kivy/kivy,913,28,3.07,65.17,29.68,5.15
kovidgoyal/calibre,9719,104,1.07,66.47,30.93,2.6
kovidgoyal/kitty,11387,60,0.53,66.08,30.55,3.36
kvcache-ai/ktransformers,1129,76,6.73,50.93,33.75,15.32
labmlai/annotated_deep_learning_paper_implementations,646,28,4.33,42.11,34.21,23.68
langbot-app/LangBot,3362,168,5.0,56.34,31.68,11.99
langchain-ai/deepagents,4445,124,2.79,33.45,52.33,14.22
langchain-ai/langchain,2549,58,2.28,48.69,40.84,10.47
langchain-ai/langgraph,7077,131,1.85,50.78,39.55,9.67
langflow-ai/langflow,1804,59,3.27,32.59,44.4,23.0
laramies/theHarvester,1589,107,6.73,85.15,12.59,2.27
letta-ai/letta,20411,225,1.1,45.86,37.75,16.39
lllyasviel/Fooocus,1101,143,12.99,72.3,21.25,6.45
lm-sys/FastChat,1118,168,15.03,47.94,41.95,10.11
localstack/localstack,839,46,5.48,36.59,41.95,21.45
locustio/locust,3336,85,2.55,72.87,24.73,2.4
lra/mackup,347,6,1.73,83.86,12.39,3.75
lss233/kirara-ai,1549,157,10.14,68.37,23.37,8.26
lucidrains/vit-pytorch,330,99,30.0,57.27,40.91,1.82
m-bain/whisperX,413,85,20.58,75.06,21.79,3.15
magic-wormhole/magic-wormhole,768,94,12.24,69.53,29.17,1.3
mail-in-a-box/mailinabox,395,42,10.63,79.49,18.73,1.77
marimo-team/marimo,7217,227,3.15,37.62,42.87,19.51
matplotlib/matplotlib,10333,54,0.52,62.54,33.95,3.51
mem0ai/mem0,611,44,7.2,33.06,46.64,20.29
microsoft/JARVIS,92,13,14.13,46.74,36.96,16.3
microsoft/VibeVoice,139,6,4.32,72.66,22.3,5.04
microsoft/agent-lightning,1658,128,7.72,35.52,45.96,18.52
microsoft/autogen,174,23,13.22,39.08,47.13,13.79
microsoft/graphrag,1016,147,14.47,35.73,35.53,28.74
microsoft/markitdown,256,33,12.89,65.62,29.3,5.08
microsoft/playwright-python,824,152,18.45,58.01,24.64,17.35
microsoft/pyright,5755,44,0.76,39.62,48.81,11.57
microsoft/qlib,1672,101,6.04,59.87,29.72,10.41
microsoft/unilm,897,21,2.34,83.95,9.81,6.24
mikf/gallery-dl,5221,135,2.59,57.82,39.95,2.22
mindsdb/minds-platform,15500,240,1.55,63.68,31.1,5.23
mindverse/Second-Me,661,54,8.17,44.78,45.23,9.98
mingrammer/diagrams,271,14,5.17,66.05,25.83,8.12
mitmproxy/mitmproxy,1945,157,8.07,58.71,31.88,9.41
mkdocs/mkdocs,612,82,13.4,47.39,40.03,12.58
mlc-ai/mlc-llm,3401,135,3.97,64.45,21.79,13.76
mlflow/mlflow,14612,172,1.18,40.3,44.18,15.52
modelcontextprotocol/python-sdk,1163,147,12.64,39.38,46.26,14.36
modelscope/FunASR,5254,106,2.02,58.03,31.23,10.73
mxrch/GHunt,146,29,19.86,76.71,14.38,8.9
netbox-community/netbox,7731,80,1.03,58.27,31.51,10.22
networkx/networkx,2078,75,3.61,52.94,41.43,5.63
nextlevelbuilder/ui-ux-pro-max-skill,122,5,4.1,34.43,28.69,36.89
nginx-proxy/nginx-proxy,771,36,4.67,70.82,24.77,4.41
nicolargo/glances,2776,93,3.35,58.25,32.93,8.83
nltk/nltk,959,93,9.7,62.57,33.58,3.86
numpy/numpy,13464,28,0.21,64.28,31.16,4.55
ocrmypdf/OCRmyPDF,1417,114,8.05,63.87,32.39,3.74
odoo/odoo,4644,14,0.3,55.1,39.64,5.25
onnx/onnx,2585,56,2.17,57.6,28.43,13.97
onyx-dot-app/onyx,20534,144,0.7,51.28,33.43,15.29
oobabooga/textgen,5268,150,2.85,70.69,26.01,3.3
open-webui/open-webui,6031,40,0.66,58.05,36.66,5.29
